id,year_month,variable,value,monthly_screen_time,app_to_screen_ratio
AS14.06,2014-05,appCat.travel,665.479,38182.3219974041,0.01742898192638059
AS14.06,2014-05,appCat.unknown,93.99700000000001,38182.3219974041,0.002461793706689462
AS14.06,2014-05,appCat.weather,15.126999999999999,38182.3219974041,0.00039617810569583583
AS14.07,2014-03,appCat.builtin,20559.684,145039.64999651906,0.14175216225696513
AS14.07,2014-03,appCat.communication,68420.481,145039.64999651906,0.4717363907155187
AS14.07,2014-03,appCat.entertainment,23125.99,145039.64999651906,0.15944598598076473
AS14.07,2014-03,appCat.other,2637.571,145039.64999651906,0.01818517212405919
AS14.07,2014-03,appCat.social,18085.951,145039.64999651906,0.12469659848485612
AS14.07,2014-03,appCat.travel,2798.216,145039.64999651906,0.019292765806227172
AS14.07,2014-03,appCat.unknown,734.0559999999999,145039.64999651906,0.005061071231333068
AS14.07,2014-03,appCat.utilities,45.444,145039.64999651906,0.00031332121941200666
AS14.07,2014-04,appCat.builtin,37808.75,256438.55801105502,0.14743785136387358
AS14.07,2014-04,appCat.communication,130187.199,256438.55801105502,0.5076740409466335
AS14.07,2014-04,appCat.entertainment,48698.103,256438.55801105502,0.1899016410702974
AS14.07,2014-04,appCat.game,14.065,256438.55801105502,5.484744614495009e-05
AS14.07,2014-04,appCat.other,4555.334,256438.55801105502,0.01776384189386847
AS14.07,2014-04,appCat.social,33364.588,256438.55801105502,0.13010753241937065
AS14.07,2014-04,appCat.travel,2783.86,256438.55801105502,0.010855855771424157
AS14.07,2014-04,appCat.unknown,2376.429,256438.55801105502,0.009267050237809996
AS14.07,2014-04,appCat.utilities,378.68199999999996,256438.55801105502,0.0014766968077541407
AS14.07,2014-05,appCat.builtin,3258.458,15401.742000103,0.21156425032819073
AS14.07,2014-05,appCat.communication,12659.87,15401.742000103,0.8219765010941839
AS14.07,2014-05,appCat.entertainment,1056.127,15401.742000103,0.06857191868250598
AS14.07,2014-05,appCat.other,505.689,15401.742000103,0.0328332340586291
AS14.07,2014-05,appCat.social,2768.849,15401.742000103,0.17977505401541483
AS14.07,2014-05,appCat.unknown,210.61,15401.742000103,0.013674427217297338
AS14.08,2014-03,appCat.builtin,7708.7119999999995,31179.19400048256,0.24723897609029574
AS14.08,2014-03,appCat.communication,25235.916,31179.19400048256,0.8093832059805467
AS14.08,2014-03,appCat.entertainment,533.443,31179.19400048256,0.017108941302066496
AS14.08,2014-03,appCat.office,178.58499999999998,31179.19400048256,0.005727697771701091
AS14.08,2014-03,appCat.other,5176.388,31179.19400048256,0.16602058410874523
AS14.08,2014-03,appCat.social,20782.468,31179.19400048256,0.6665492379205938
AS14.08,2014-03,appCat.travel,1690.5240000000001,31179.19400048256,0.05421961837672378
AS14.08,2014-03,appCat.unknown,706.4549999999999,31179.19400048256,0.022657898083865355
AS14.08,2014-03,appCat.utilities,269.505,31179.19400048256,0.00864374492797437
AS14.08,2014-04,appCat.builtin,5339.9529999999995,63514.361998319626,0.0840747325800309
AS14.08,2014-04,appCat.communication,46221.36,63514.361998319626,0.7277308398567062
AS14.08,2014-04,appCat.entertainment,3492.06,63514.361998319626,0.054980635719719395
AS14.08,2014-04,appCat.office,261.916,63514.361998319626,0.0041237287403899205
AS14.08,2014-04,appCat.other,5909.403,63514.361998319626,0.09304042131693527
AS14.08,2014-04,appCat.social,31261.303,63514.361998319626,0.4921926634613297
AS14.08,2014-04,appCat.travel,1114.867,63514.361998319626,0.01755299061383149
AS14.08,2014-04,appCat.unknown,46.486,63514.361998319626,0.000731897456534789
AS14.08,2014-04,appCat.utilities,299.698,63514.361998319626,0.004718586325529476
AS14.08,2014-05,appCat.builtin,375.524,9277.722001075741,0.04047588405391522
AS14.08,2014-05,appCat.communication,12230.246,9277.722001075741,1.3182380328470626
AS14.08,2014-05,appCat.entertainment,3781.166,9277.722001075741,0.4075532765005869
AS14.08,2014-05,appCat.other,195.962,9277.722001075741,0.021121779675795246
AS14.08,2014-05,appCat.social,2202.449,9277.722001075741,0.23739113973717132
AS14.08,2014-05,appCat.unknown,317.828,9277.722001075741,0.034257116128630305
AS14.08,2014-05,appCat.utilities,249.938,9277.722001075741,0.02693958710672943
AS14.09,2014-03,appCat.builtin,4673.791,74200.63799977304,0.06298855543552463
AS14.09,2014-03,appCat.communication,27938.092,74200.63799977304,0.37652091347362077
