row_number,id,time,variable,value,deviation
538157,AS14.09,2014-04-06 17:43:08.816,appCat.entertainment,62.289,10.43603115787545
538163,AS14.09,2014-04-06 17:48:46.003,appCat.entertainment,159.626,8.035385236214283
538166,AS14.09,2014-04-06 17:53:59.204,appCat.entertainment,230.761,3.008465754362012
538200,AS14.09,2014-04-06 19:14:42.256,appCat.entertainment,30.177,5.806712882766226
538202,AS14.09,2014-04-06 19:15:20.479,appCat.entertainment,77.893,7.6162649187117575
538234,AS14.09,2014-04-06 21:03:01.496,appCat.entertainment,61.449,12.999902045000768
538305,AS14.09,2014-04-06 22:40:34.463,appCat.entertainment,60.021,5.040487234637115
538337,AS14.09,2014-04-06 23:51:27.799,appCat.entertainment,148.581,4.065087565512668
538378,AS14.09,2014-04-07 10:57:19.329,appCat.entertainment,59.277,29.66868152472161
538437,AS14.09,2014-04-07 12:34:51.653,appCat.entertainment,179.619,152.53891975677664
538528,AS14.09,2014-04-07 17:36:24.279,appCat.entertainment,59.233,16.475887968572646
538532,AS14.09,2014-04-07 17:45:58.450,appCat.entertainment,87.406,4.417204646248447
538554,AS14.09,2014-04-07 17:53:06.244,appCat.entertainment,77.482,15.465155979643503
538575,AS14.09,2014-04-07 19:59:25.089,appCat.entertainment,91.909,4.209056032171788
538599,AS14.09,2014-04-07 21:32:37.250,appCat.entertainment,70.544,73.0541844604009
538674,AS14.09,2014-04-08 13:01:22.704,appCat.entertainment,25.931,12.415097553458095
538760,AS14.09,2014-04-08 15:01:18.526,appCat.entertainment,30.846,6.07988737136711
538796,AS14.09,2014-04-08 15:51:03.237,appCat.entertainment,35.827,4.842933342518478
538798,AS14.09,2014-04-08 15:51:45.135,appCat.entertainment,59.93,4.514432876352466
538841,AS14.09,2014-04-08 18:22:51.526,appCat.entertainment,15859.894,669.0579115428196
538859,AS14.09,2014-04-08 22:58:39.177,appCat.entertainment,59.789,4.830288813196064
538886,AS14.09,2014-04-09 00:18:08.513,appCat.entertainment,201.737,10.090333950975163
538937,AS14.09,2014-04-09 13:13:16.888,appCat.entertainment,59.612,56.55188606816088
538997,AS14.09,2014-04-09 18:59:16.463,appCat.entertainment,59.751,18.54872209978267
539042,AS14.09,2014-04-09 23:15:18.894,appCat.entertainment,80.35,6.566213353810826
539076,AS14.09,2014-04-10 00:05:05.654,appCat.entertainment,98.784,3.4154293922810357
539104,AS14.09,2014-04-10 08:30:41.186,appCat.entertainment,64.087,3.833546622355131
539126,AS14.09,2014-04-10 11:51:31.782,appCat.entertainment,107.403,56.45933864804119
